,item_1,item_2,item_3,item_4,item_5,item_6,item_7,item_8,item_9,item_10,item_11,item_12,item_13,item_14,item_15,item_16,item_17,item_18,item_19,item_20,sim_1,sim_2,sim_3,sim_4,sim_5,sim_6,sim_7,sim_8,sim_9,sim_10,sim_11,sim_12,sim_13,sim_14,sim_15,sim_16,sim_17,sim_18,sim_19,sim_20
20,20,3488,8126,3137,4915,4845,5802,8000,118,257,510,1273,1429,1630,1787,1945,2016,2637,2880,2899,1.0,0.4472135954999579,0.3651483716701108,0.3354101966249684,0.3354101966249684,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
21,21,3146,5686,5804,1961,1721,2012,2115,3486,4108,4971,8661,8933,1229,2873,2916,2944,5295,5310,5746,1.0000000000000002,0.3162277660168379,0.3162277660168379,0.3015113445777636,0.2886751345948128,0.2721655269759087,0.2519763153394848,0.2519763153394848,0.2519763153394848,0.2519763153394848,0.2519763153394848,0.2519763153394848,0.2519763153394848,0.2357022603955158,0.2357022603955158,0.2357022603955158,0.2357022603955158,0.2357022603955158,0.2357022603955158,0.2357022603955158
22,22,1803,6129,8459,7377,2280,4520,7746,7602,136,333,334,341,378,454,626,762,1060,1163,1191,1.0,0.4,0.4,0.4,0.3651483716701108,0.3585685828003181,0.3585685828003181,0.3585685828003181,0.3162277660168379,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
24,24,2008,744,1211,3635,1348,1383,2765,3003,3461,6060,6464,7391,7586,7605,3004,3983,4091,414,458,1.0000000000000002,0.4472135954999578,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.2721655269759087,0.2721655269759087,0.2721655269759087,0.2519763153394848,0.2519763153394848
32,32,1264,2328,1979,1856,41,276,1723,1785,2102,2257,6202,6239,7424,7912,2652,6628,8112,1395,2240,1.0,0.3651483716701108,0.3651483716701108,0.3585685828003181,0.3162277660168379,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2860387767736777,0.2738612787525831,0.2738612787525831,0.2738612787525831,0.2581988897471611,0.2581988897471611
33,33,277,6039,7188,1682,4604,7584,2368,3983,840,1352,2059,2299,2394,3645,4006,6013,63,409,913,1.0,0.3535533905932737,0.3535533905932737,0.3535533905932737,0.3354101966249684,0.3354101966249684,0.3198010745334156,0.3162277660168379,0.2886751345948129,0.2499999999999999,0.2499999999999999,0.2499999999999999,0.2499999999999999,0.2499999999999999,0.2499999999999999,0.2499999999999999,0.2499999999999999,0.2357022603955158,0.2357022603955158,0.2357022603955158
35,35,5295,2171,2691,3551,6621,8017,1939,414,2017,2166,3800,5350,7329,7417,650,1625,2299,2582,2910,1.0,0.4472135954999579,0.4,0.4,0.4,0.4,0.4,0.3813850356982369,0.3585685828003181,0.3585685828003181,0.3585685828003181,0.3585685828003181,0.3585685828003181,0.3585685828003181,0.3585685828003181,0.3354101966249684,0.3354101966249684,0.3354101966249684,0.3354101966249684,0.3354101966249684
37,37,6270,924,5403,4237,4158,5350,1737,2144,4456,6653,6670,6995,809,828,908,961,1425,1838,1918,1.0000000000000002,0.3162277660168379,0.2886751345948128,0.2886751345948128,0.2773500981126146,0.2519763153394848,0.2519763153394848,0.2357022603955158,0.2357022603955158,0.2357022603955158,0.2357022603955158,0.2357022603955158,0.2357022603955158,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222
39,39,6662,1445,4971,6022,7156,9225,856,1034,1850,2133,2272,2544,2909,2917,3057,4275,4298,4471,4518,0.9999999999999998,0.1443375672974064,0.1336306209562121,0.1336306209562121,0.1336306209562121,0.1336306209562121,0.1336306209562121,0.1249999999999999,0.1249999999999999,0.1249999999999999,0.1249999999999999,0.1249999999999999,0.1249999999999999,0.1249999999999999,0.1249999999999999,0.1249999999999999,0.1249999999999999,0.1249999999999999,0.1249999999999999,0.1249999999999999
40,40,1265,5753,668,973,1774,2898,484,1727,3741,5301,6646,6812,7964,7394,7547,6794,3580,509,1059,1.0,0.3813850356982369,0.3162277660168379,0.3,0.3,0.3,0.3,0.2860387767736777,0.2860387767736777,0.2860387767736777,0.2860387767736777,0.2860387767736777,0.2860387767736777,0.2860387767736777,0.2738612787525831,0.2738612787525831,0.2390457218668787,0.2236067977499789,0.2108185106778919,0.2108185106778919
41,41,1723,1264,2328,1979,1856,2486,7495,32,276,1694,2102,2257,3712,6202,6224,6239,7424,7912,6628,1.0,0.4,0.3651483716701108,0.3651483716701108,0.3585685828003181,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2860387767736777,0.2738612787525831
43,43,1378,3146,7758,6611,2992,3602,4893,6480,8000,8481,811,1217,1219,1223,1885,2016,2392,2775,2899,1.0,0.4,0.4,0.4,0.3585685828003181,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
44,44,1323,1794,3699,6288,97,2805,5960,7437,3225,1395,1371,2012,4158,6094,3929,4097,4876,7406,8268,1.0,0.3,0.3,0.3,0.3,0.2738612787525831,0.2738612787525831,0.2738612787525831,0.2738612787525831,0.2631174057921088,0.2581988897471611,0.2390457218668787,0.2390457218668787,0.2390457218668787,0.2390457218668787,0.2236067977499789,0.2236067977499789,0.2236067977499789,0.2236067977499789,0.2236067977499789
46,46,6857,4108,2873,8595,1660,6950,192,395,510,607,811,935,1038,1039,1123,1131,1256,1497,1791,1.0,0.3651483716701108,0.3585685828003181,0.3354101966249684,0.3354101966249684,0.3162277660168379,0.3162277660168379,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
51,51,5295,1735,8247,414,2017,2166,3800,3852,5350,7329,7417,650,1625,2299,2582,2910,3873,6018,444,1.0,0.4472135954999579,0.4,0.3813850356982369,0.3585685828003181,0.3585685828003181,0.3585685828003181,0.3585685828003181,0.3585685828003181,0.3585685828003181,0.3585685828003181,0.3585685828003181,0.3354101966249684,0.3354101966249684,0.3354101966249684,0.3354101966249684,0.3354101966249684,0.3354101966249684,0.3354101966249684,0.3162277660168379
53,53,6845,1555,8149,701,787,789,898,2533,3569,4070,4317,5156,6045,6048,6058,6505,6734,6940,7061,1.0,0.3651483716701108,0.3354101966249684,0.3162277660168379,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
54,54,7268,3611,4291,4307,6039,6174,791,935,1038,1039,7922,8234,633,2997,1118,1428,1721,2012,2115,1.0,0.4,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3,0.3,0.3,0.3,0.3,0.3,0.2860387767736777,0.2860387767736777,0.2738612787525831,0.2581988897471611,0.2581988897471611,0.2390457218668787,0.2390457218668787
55,55,696,792,925,1427,2830,3479,6213,6631,6804,5334,3643,3761,3800,5734,5785,5992,1342,1662,2829,1.0000000000000002,0.2860387767736777,0.2860387767736777,0.2860387767736777,0.2860387767736777,0.2860387767736777,0.2860387767736777,0.2860387767736777,0.2860387767736777,0.2860387767736777,0.2508726030021272,0.241746889207614,0.2279211529192759,0.2279211529192759,0.2279211529192759,0.2279211529192759,0.2279211529192759,0.2132007163556104,0.2132007163556104,0.2132007163556104
61,61,5763,2238,2393,2489,3442,4092,6522,489,774,1790,2085,2713,3949,4400,4568,5730,5802,6109,436,1.0,0.3354101966249684,0.2672612419124243,0.2499999999999999,0.2499999999999999,0.2499999999999999,0.2499999999999999,0.2499999999999999,0.2357022603955158,0.2357022603955158,0.2357022603955158,0.2357022603955158,0.2357022603955158,0.2357022603955158,0.2357022603955158,0.2357022603955158,0.2357022603955158,0.2357022603955158,0.2357022603955158,0.2236067977499789
62,62,4926,827,1216,136,901,914,2653,2775,4662,5834,6758,6993,7392,7665,7759,8258,9075,9314,2452,1.0,0.4,0.3162277660168379,0.3162277660168379,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2860387767736777
63,63,4646,1419,6950,8591,9072,1223,2523,3539,3840,4604,4931,5705,8038,8328,7987,1721,2012,2115,3486,1.0000000000000002,0.4216370213557839,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3015113445777636,0.2721655269759087,0.2519763153394848,0.2519763153394848,0.2519763153394848
71,71,607,1256,8248,8959,7055,7655,192,505,7684,1939,7058,7355,7947,7961,1721,2012,2115,3486,4108,1.0,0.4,0.4,0.3952847075210474,0.3813850356982369,0.3354101966249684,0.3162277660168379,0.3,0.3,0.3,0.2860387767736777,0.2860387767736777,0.2860387767736777,0.2860387767736777,0.2860387767736777,0.2581988897471611,0.2390457218668787,0.2390457218668787,0.2390457218668787,0.2390457218668787
73,73,8111,1497,3698,6570,8739,4108,6893,7405,147,1228,1352,2873,3559,6618,7617,8521,8595,15,98,1.0000000000000002,0.3333333333333333,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3015113445777636,0.2519763153394848,0.2519763153394848,0.2519763153394848,0.2357022603955158,0.2357022603955158,0.2357022603955158,0.2357022603955158,0.2357022603955158,0.2357022603955158,0.2357022603955158,0.2357022603955158,0.2357022603955158,0.2222222222222222,0.2222222222222222
77,77,1188,2670,5867,6844,8556,2115,3486,4158,8520,8661,8976,2944,3929,4097,5310,7617,8268,9170,223,1.0000000000000002,0.3333333333333333,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.2519763153394848,0.2519763153394848,0.2519763153394848,0.2519763153394848,0.2519763153394848,0.2519763153394848,0.2357022603955158,0.2357022603955158,0.2357022603955158,0.2357022603955158,0.2357022603955158,0.2357022603955158,0.2357022603955158,0.2222222222222222
81,81,4971,1448,1494,3014,8103,510,667,919,1015,1471,2744,2879,3644,4195,4430,5705,5736,6384,6608,1.0,0.3585685828003181,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
82,82,8017,106,217,1026,2152,3071,622,1584,1611,2851,9171,3227,7070,8040,2662,3138,6662,8436,414,1.0000000000000002,0.4216370213557839,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3015113445777636,0.3015113445777636,0.3015113445777636,0.2721655269759087,0.2721655269759087,0.2721655269759087,0.2721655269759087,0.2519763153394848
84,84,4158,3929,4097,8268,1188,5332,6289,133,140,253,333,431,594,626,1104,1180,1198,1215,1330,1.0,0.3585685828003181,0.3354101966249684,0.3354101966249684,0.3354101966249684,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
88,88,1123,1419,2263,505,1497,1754,1791,2082,3012,3162,3418,6298,8328,3803,1118,1721,2012,2115,3486,1.0000000000000002,0.4216370213557839,0.3333333333333333,0.3333333333333333,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3015113445777636,0.2886751345948128,0.2721655269759087,0.2519763153394848,0.2519763153394848,0.2519763153394848
89,89,4845,2146,6984,1795,2486,2512,3623,4882,5946,6500,7313,8354,19,833,933,1038,1039,1273,1682,1.0,0.4216370213557839,0.4,0.4,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3,0.3,0.3,0.3,0.3,0.3,0.3
92,92,8218,7725,7356,2021,6746,7539,3520,9153,6805,5018,4544,9146,1739,2650,4932,5212,6164,7919,7962,1.0,0.4743416490252568,0.4330127018922194,0.3749999999999999,0.3535533905932737,0.3535533905932737,0.3535533905932737,0.3354101966249684,0.3354101966249684,0.3198010745334156,0.3061862178478972,0.2672612419124243,0.2672612419124243,0.2499999999999999,0.2499999999999999,0.2499999999999999,0.2499999999999999,0.2499999999999999,0.2499999999999999,0.2499999999999999
93,93,5719,6905,1800,1118,3914,964,2196,7433,2857,4199,1689,1937,3447,3647,4549,5148,5377,6356,6919,1.0,0.4767312946227962,0.4767312946227962,0.4545454545454546,0.4351941398892446,0.4351941398892446,0.3813850356982369,0.3813850356982369,0.3692744729379982,0.3481553119113957,0.3481553119113957,0.3015113445777636,0.3015113445777636,0.3015113445777636,0.3015113445777636,0.3015113445777636,0.3015113445777636,0.3015113445777636,0.3015113445777636,0.3015113445777636
97,97,2983,1198,1871,2804,3719,6288,4876,645,1433,44,201,932,1398,1476,2308,2311,2762,3851,3910,1.0000000000000002,0.4564354645876385,0.3651483716701108,0.3651483716701108,0.3651483716701108,0.3651483716701108,0.3651483716701108,0.3061862178478972,0.2886751345948128,0.2886751345948128,0.2738612787525831,0.2738612787525831,0.2738612787525831,0.2738612787525831,0.2738612787525831,0.2738612787525831,0.2738612787525831,0.2738612787525831,0.2738612787525831,0.2738612787525831
98,98,5084,15,913,928,1496,927,961,1030,811,935,1191,1682,5294,5487,6298,8287,4135,2354,4108,1.0000000000000002,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.3535533905932737,0.3535533905932737,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3015113445777636,0.2519763153394848,0.2519763153394848
106,106,82,4333,622,2851,4788,6727,3227,7070,2662,3138,8436,414,861,2017,2166,3800,4301,5350,7329,1.0000000000000002,0.3333333333333333,0.3333333333333333,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3015113445777636,0.3015113445777636,0.2721655269759087,0.2721655269759087,0.2721655269759087,0.2519763153394848,0.2519763153394848,0.2519763153394848,0.2519763153394848,0.2519763153394848,0.2519763153394848,0.2519763153394848,0.2519763153394848
108,108,5333,8005,1403,2940,4805,5730,2964,3003,3520,6831,7478,9012,9153,2173,6805,7070,5018,2662,3138,1.0000000000000002,0.3813850356982369,0.3636363636363636,0.3015113445777636,0.3015113445777636,0.3015113445777636,0.3015113445777636,0.2860387767736777,0.2860387767736777,0.2860387767736777,0.2860387767736777,0.2860387767736777,0.2860387767736777,0.2860387767736777,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2611164839335468,0.2461829819586655,0.2461829819586655
112,112,215,592,1219,1429,2262,5319,6835,7364,7708,7511,8361,806,2115,2129,2280,3486,4544,6611,7441,1.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2860387767736777,0.2860387767736777,0.2390457218668787,0.2390457218668787,0.2390457218668787,0.2390457218668787,0.2390457218668787,0.2390457218668787,0.2390457218668787,0.2390457218668787
114,114,1336,2390,2576,10,929,414,2017,2166,2967,3800,5350,7329,7417,650,1625,2299,2582,2910,3873,1.0,0.4216370213557839,0.4,0.4,0.3813850356982369,0.3651483716701108,0.3585685828003181,0.3585685828003181,0.3585685828003181,0.3585685828003181,0.3585685828003181,0.3585685828003181,0.3585685828003181,0.3585685828003181,0.3354101966249684,0.3354101966249684,0.3354101966249684,0.3354101966249684,0.3354101966249684,0.3354101966249684
115,115,1293,1494,356,1072,2147,2659,3162,6602,2225,3004,3983,4091,414,458,2017,2166,2967,3013,3800,1.0000000000000002,0.4020151261036848,0.3333333333333333,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.2886751345948128,0.2773500981126146,0.2721655269759087,0.2721655269759087,0.2721655269759087,0.2519763153394848,0.2519763153394848,0.2519763153394848,0.2519763153394848,0.2519763153394848,0.2519763153394848,0.2519763153394848
117,117,3800,1625,631,1196,191,255,1339,2297,3030,4004,6449,1884,632,414,458,2017,2166,2354,2967,1.0,0.4780914437337574,0.4472135954999579,0.4216370213557839,0.4216370213557839,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3813850356982369,0.3651483716701108,0.3585685828003181,0.3585685828003181,0.3585685828003181,0.3585685828003181,0.3585685828003181,0.3585685828003181
118,118,4426,8126,364,2146,3046,5999,7542,531,3442,6522,8544,2713,3097,6109,19,20,1182,1191,2028,1.0,0.6,0.4564354645876385,0.4,0.4,0.4,0.4,0.3813850356982369,0.3651483716701108,0.3354101966249684,0.3354101966249684,0.3354101966249684,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3,0.3,0.3,0.3,0.3
123,123,6906,797,3781,7614,5992,443,1228,7739,8423,913,1562,2512,3002,3285,3635,4153,5110,6191,6997,1.0,0.3535533905932737,0.3198010745334156,0.3061862178478972,0.3061862178478972,0.2672612419124243,0.2499999999999999,0.2499999999999999,0.2499999999999999,0.2499999999999999,0.2357022603955158,0.2357022603955158,0.2357022603955158,0.2357022603955158,0.2357022603955158,0.2357022603955158,0.2357022603955158,0.2357022603955158,0.2357022603955158,0.2357022603955158
124,124,1271,7835,1176,1720,8611,973,1480,1978,3934,4418,6020,7888,1921,6158,2805,6845,7437,7648,2527,1.0000000000000002,0.3015113445777636,0.2357022603955158,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2108185106778919,0.2108185106778919,0.2108185106778919,0.2108185106778919,0.2108185106778919,0.2108185106778919,0.2108185106778919,0.2010075630518424,0.2010075630518424,0.1924500897298752,0.1924500897298752,0.1924500897298752,0.1924500897298752,0.1490711984999859
126,126,1173,509,5260,1985,1986,4439,5901,5999,6221,6693,7750,8035,8165,8897,8945,308,7547,8126,6069,1.0,0.4767312946227962,0.3162277660168379,0.3162277660168379,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2860387767736777,0.2738612787525831,0.2738612787525831,0.2631174057921088
131,131,1519,3523,1392,6249,671,785,1546,1594,2482,2851,2972,4633,4644,6110,6503,6609,6917,7048,8213,1.0,0.4,0.3354101966249684,0.3162277660168379,0.3162277660168379,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
133,133,2435,4158,3929,4097,8268,1827,6289,84,140,431,594,1215,1330,1767,2670,2981,3025,3478,3819,1.0,0.4,0.3585685828003181,0.3354101966249684,0.3354101966249684,0.3354101966249684,0.3162277660168379,0.3162277660168379,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
134,134,1754,4931,7441,1738,2653,3605,7037,2115,3486,8661,5310,9170,761,1655,3550,5332,7795,8085,215,1.0,0.5,0.5,0.4780914437337574,0.4,0.4,0.4,0.4,0.3585685828003181,0.3585685828003181,0.3585685828003181,0.3354101966249684,0.3354101966249684,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3
136,136,4520,1170,5834,8258,2452,8126,2280,7746,161,7994,1052,6176,8481,22,62,142,307,486,636,1.0,0.4780914437337574,0.4,0.4,0.4,0.3813850356982369,0.3651483716701108,0.3585685828003181,0.3585685828003181,0.3354101966249684,0.3354101966249684,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3,0.3,0.3,0.3,0.3,0.3
138,138,793,8085,2978,3915,4012,4279,4461,6824,223,1052,6501,7136,257,626,1157,1210,1397,1738,2252,1.0,0.4216370213557839,0.4216370213557839,0.3813850356982369,0.3813850356982369,0.3813850356982369,0.3813850356982369,0.3813850356982369,0.3813850356982369,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3,0.3,0.3,0.3,0.3,0.3,0.3
140,140,5867,4158,3929,4097,8268,989,2285,6289,84,133,431,592,594,1131,1210,1215,1330,1767,2216,1.0,0.4,0.3585685828003181,0.3354101966249684,0.3354101966249684,0.3354101966249684,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
142,142,3212,2775,3100,6756,6996,8126,2280,7746,161,7994,1458,4420,6176,136,486,636,1097,1170,1429,1.0,0.5,0.4,0.4,0.4,0.4,0.3651483716701108,0.3585685828003181,0.3585685828003181,0.3354101966249684,0.3354101966249684,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3,0.3,0.3,0.3,0.3,0.3
147,147,2189,3285,8117,4630,4108,7405,2400,2873,6909,7617,8595,15,73,98,223,277,613,659,845,1.0,0.3535533905932737,0.3535533905932737,0.3354101966249684,0.2886751345948129,0.2672612419124243,0.2672612419124243,0.2499999999999999,0.2499999999999999,0.2499999999999999,0.2499999999999999,0.2499999999999999,0.2357022603955158,0.2357022603955158,0.2357022603955158,0.2357022603955158,0.2357022603955158,0.2357022603955158,0.2357022603955158,0.2357022603955158
152,152,1230,2166,3454,4167,4193,4401,4548,4903,8244,2130,3465,3913,5333,6224,6562,6879,7393,7058,7070,1.0000000000000002,0.4020151261036848,0.3779644730092272,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3015113445777636,0.3015113445777636
156,156,4856,833,1217,1285,1332,1347,1631,2016,2164,2785,3028,3418,3793,6201,6411,6425,6572,6866,8633,1.0,0.3162277660168379,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
159,159,7541,1472,1578,1921,7547,8112,4971,9225,6118,7227,324,597,675,956,1037,1067,1446,1447,1448,1.0,0.3651483716701108,0.3,0.3,0.2860387767736777,0.2738612787525831,0.2738612787525831,0.2390457218668787,0.2390457218668787,0.2236067977499789,0.2236067977499789,0.2108185106778919,0.2108185106778919,0.2108185106778919,0.2108185106778919,0.2108185106778919,0.2108185106778919,0.2108185106778919,0.2108185106778919,0.2108185106778919
161,161,3951,5965,6244,6996,7525,8126,2280,7746,3564,7682,7994,2992,6176,136,142,486,1097,1170,1429,1.0,0.4472135954999579,0.4472135954999579,0.4472135954999579,0.4472135954999579,0.4472135954999579,0.408248290463863,0.4008918628686365,0.4008918628686365,0.3749999999999999,0.3749999999999999,0.3749999999999999,0.3535533905932737,0.3535533905932737,0.3354101966249684,0.3354101966249684,0.3354101966249684,0.3354101966249684,0.3354101966249684,0.3354101966249684
